url,name,image_url,price,seller,pid,cid,gid
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Beliani 4-Sitzer-Ecksofa Beige Textil L-Form,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR4qntgE9GDBI1Ua-S_QVlaux7Eux6cMqd9FVGGRwUFfmP_lhl4QrswfyaNML9olFlMRofGChtTT9X7fx193Y7MFdgID5w_r-bAMJ8sROJcdM3Aw-eWcYdm,"€ 829,99",Beliani.at,764105986287003345,11775979803820617642,67256428376773166
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,IKEA LILLEHEM modular corner sofa,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQJ6SSVx9RSGns2a9BAdrl-ZZhtnkgAuconGxYFjD_ZbRgRtNQSnWoXNvg74ATo84nGVNCi-iFuO_Fr0MyPV8fhJP7j4Ah8KtxVU9gm_WYpUn0Ht54DgXsv4Q,"€ 820,00",IKEA,9928728292247920540,10181026886853026216,1419863338256085067
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Compressed Corner Sofa in a Box Modular Sectional Couch – Lkikos,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSx-jzzyzTouiwLJMHwrEtUWxkMWsgCy_N5IEc3LRSY8kmIOCBqohuJUA8dZ2piTcodJK6KnHlOoZWL6wUHJJuF0BYsyE5WDXlJXz1-BgM,"€ 384,95",Lkikos.com,6163954745543076584,5506873671663424373,11091122376216217617
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Westwing Bouclé Corner Module Sofia Bouclé B 95 x T 103 cm,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTzdbIFzMcd7gXj_cu18tZCjChUX3ey5gsqUV9DWYdj6kdFNEfU7uB3n5u3P5aeFRCCCc_43hA39kefa7YGfB4CpMLb4DfZFOMOpFEP7Z3uugsZ5THbim0GaA,"€ 899,00",westwing.de,9508628061626876979,342691719241749661,5569163153207909227
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Amaltas L Shaped Sofa,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTXq5QoXRJc1-wNIUNKy8yO7Rtz6kP2tiOEYYJjfgDr7YGVHXp8HqgBf3arDWn74Vrew0CSNR2szuFZ0M0jC-Bsk0I3JHAhDkTrfNQ2wg4,"€ 710,67",Amaltas Furniture Studio,8219710835467979673,3526773287488427889,2108010592125415619
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,IKEA HYLTARP corner sofa 4-seat,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTvWrRbhv2T1EXpsjpMnmjA6JnfKDv9njwPxsmghJQ8auQd0Z2mjTWo435q_UD17le2nwGL7ymS5kqga9skvLAsNXcp983dRrfAdnkNklPyFvFsBibrGKsYJA,"€ 1.199,00",IKEA,14508944958181329660,7421014110168503124,12594681842920997676
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Lkikos L Shape Sofa Bed in a Box,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSJOFUFLqSgKsi9_s9sCD-hkaK8ROJa05simnxe9N5tdgYomi0JCA8NvPRaRptaKYwCrMgIgl1OS3OlCk40eBAH-QtRB3wHX-Hzm5jOp2Y,"€ 1.303,95",Lkikos.com,6551215226316292201,9228677447909972889,17491965745330254797
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Small Velvet Corner Sofa Fluente Grey Velvet B 198 x T 152 cm,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRF3ySInS_Wa2LTeWtLiNSbe7bdxa4yMXiPHMtyJ8G-DZ-dB8GGB_h6OuofYxmFmk-UnUrB425tzvwpLMbUqWab4YThELvvEocgtogaGNiSLOhrS733jxHq9w,"€ 1.199,00",westwing.at,5463506508221758333,5203534318034238666,16124840529743171206
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,IKEA KIVIK corner sofa 4-seat,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQGAMpgN5EJZ8tzXpRE8odxYIgEM-RhD1PV-vHZMDorD9xrMzq-ADCctfxnZQtUkBEGUKJ1bC-1z312SJqXK0rFBtO-Pkw1pIhYhBUqDJEhPwj-NLoZr8SI,"€ 1.249,00",IKEA,9417470041706504178,11490374306911037569,5221046222035565844
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,ALTDECOR Ecksofa Kerru-L1 Sofa Praktische Bequeme Funktionsecke Couch L-Form Eckcouch,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSdXK4urSosB1E-4f_Bv_Am6kwKM4BH2VEtT-Xsmtp2wNgj5BLLXd9mkfOHc0orTgQgVBSQ3ua6KGCjDa-N9a_F6bOWmG9cpS6p_1W7Z708sh5Osxi2jIp_,"€ 1.369,90",altdecor.at,12520462261453167493,3358218937330470106,18035711524277282605
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,IKEA SÖDERHAMN corner sofa 6-seat,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQHK3v_jYezlYeBQpSmGqf9IdlvAHORGUFGK_sMtSGAGtVhZgD_QV5IXCiv5Aqa3ODgbsL0Jrw0e91EqRq09CJUhu-Ftpdns4O1TkbyydLwsFqccSq9XVg36A,"€ 1.538,00",IKEA,9585931196995989354,5513586167874874123,9790995948607343252
https://www.google.com/search?q=corner+sofa+furniture&udm=28&gl=AT,Modular Corner Sofa Lennon B 327 x T 180 cm,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRsFEh0KwdU2_MFQ2iLvnucVBlBPiidnZjlD-M8yuANSkQVpk_zIWDoaP7zm_jfm56ooCjuPq1JfJC_-J-kVLrb5XaxjNWVA3dvsGzWzbOQlME5b5IEv8hq,"€ 2.549,00",westwing.de,8012810230134809539,778803129448282734,1377604675604392294
